HSB_1_250	Lampa, běłu swěcu, prošu.
HSB_2_216	W nadawku zaměroweho zwjazka planowarjo nětko trěbny dokument zestajeja.
HSB_2_217	Sy ty čornu tonu widźała?
HSB_2_218	Tute rěča bjezwuwzaćnje serbsce, rozumja pak tež němčinu serbsce wuknjacych dźěći.
HSB_2_219	Bórze je cyle zakazachu.
HSB_2_220	Z tym hodźi so digitalizacija serbskeje rěče dale pokročować.
HSB_2_221	Na přikład maja Serbja prawo, w sudnistwje serbsce rěčeć.
HSB_2_222	Kotru rólu hraje při tym powěstny ptači kwas?
HSB_2_223	Za nas Serbow změja wólby konkretne sćěhi.
HSB_2_224	Dopominajo na tutón podawk je ministerka za wuměłstwo a wědomosć wuznam zakonja wuzběhnyła.
HSB_2_225	Tohodla mamy w Domowinje spěchowanje wobeju za wažne.
HSB_2_226	Turisća přińdu zajima za Serbow dla do Budyšina.
HSB_2_227	Swój studij w Lipsku a Berlinje dyrbješe sej Marja Grólmusec wuwojować.
HSB_2_228	Wój běštaj zymnaj a so scyła wo jeje potrjeby starałoj njejstaj.
HSB_2_229	Tam zhonimy, štó móže zakonje wudawać.
HSB_2_230	Njewšědny wopyt měješe popołdnju Serbska wyša šula „Michał Hórnik“ Worklecy.
HSB_2_231	Kak dołho trjebam ja z awtom hač tam?
HSB_2_232	Stara serbska powěsć wě wo tutej hórce sćěhowace powědać.
HSB_2_233	Smy so jako Serbski institut na prěnim přihotowanskim zetkanju wobdźělili.
HSB_2_234	Potom njetrjebamy scyła tak daloko wróćo zhladować.
HSB_2_235	Hdyž ma dźěćo kontakt z dwěmaj rěčomaj, wuwiwa přirunowace rěčne wědomje.
HSB_2_236	Na někotrych wotrězkach skedźbnja so zdobom na wšelake rostliny.
HSB_2_237	Jeje wosebity konik su tež stawizny wsy.
HSB_2_238	Z jeho mjenom je rozkćěw města po přewróće zwjazany.
HSB_2_239	Tójšto kmanosćow je sej wona jako dołholětna čłonka přiswojiła.
HSB_2_240	W kamorje su klocki, kóstki a hrajne figury, lego-kamjenje, hry a kwartety.
HSB_2_241	Mjez wěriwymi běchu tež zastupnicy Spěchowanskeho towarstwa za serbsku rěč w cyrkwi.
HSB_2_242	To je runje za wjesne kónčiny wulka lěpšina.
HSB_2_243	Wobaj razaj je sudnistwo skóržbu wotpokazało.
HSB_2_244	Jeje jutrowne a swjatkowne wizije běchu połne zacpěwanja za pobožnu nutřkownosć.
HSB_2_245	Spěwarske maja wjetše pismo hač Wosadnik.
HSB_2_246	Wotpowědnje budu tež ze zwjazkowymi radźićelemi dale wuradźować.
HSB_2_247	Wón přińdźe dźensa wječor, do toho dyrbimy wšitko spakowane měć.
HSB_2_248	Čehodla sće so rozsudźił so z wučerjom stać?
HSB_2_249	Załožba planuje twarske dźěła w Serbskim ludowym ansamblu.
HSB_3_250	Lampa, trošku romantisce.
HSB_3_251	Swěca, daj pjatnać procentow.
HSB_3_252	Lampa, pjećadwacći procentow, prošu.
HSB_3_253	Lampa, pjećdźesać procentow.
HSB_3_254	Lampa, pjećatřicći procentow.
HSB_3_255	Lampa, pjećatřicci procentow, prošu.
HSB_3_256	Swěca, oranžowu barbu, prošu.
HSB_3_257	Swěca, njespóznaju ničo.
HSB_3_258	Swěca, třicći procentow.
HSB_3_259	Lampa, trjebam swěcu.
HSB_3_260	Swěca, štyrcći procentow.
HSB_3_261	Swěca, dwacći procentow.
HSB_3_262	Swěca, pjećasydomdźesat procentow, prošu.
HSB_3_263	Swěca, dwacći procentow, prošu.
HSB_3_264	Swěca, daj pjećaštyrcći procentow.
HSB_3_265	Swěca, dźewjećdźesać procentow.
HSB_3_266	Lampa, štyrcći procentow.
HSB_3_267	Swěca, daj pjećadwaceći procentow.
HSB_3_268	Lampa, pjećatřicci procentow.
HSB_3_269	Lampa, přitulnu barbu.
HSB_3_270	Swěca, pjećaštyrcci procentow, prošu.
HSB_3_271	Čerwjenu barbu, prošu.
HSB_3_272	Swěca, zymno-běłu swěcu, prošu.
HSB_3_273	Swěca, pjećatřiceći procentow.
HSB_3_274	Luba lampa, zaswěć so.
HSB_3_275	Lampa, pjećadwaceći procentow.
HSB_3_276	Lampa, zymno-běłu swěcu, prošu.
HSB_3_277	Lampa, hasń so.
HSB_3_278	Lampa, pjećdźesat procentow.
HSB_3_279	Lampa, budź cyle swětła.
HSB_3_280	Lampa, najswětlišo.
HSB_3_281	Zymno-běłu swěcu, prošu.
HSB_3_282	Swěca, wosomdźesać procentow, prošu.
HSB_3_283	Ćopłu běłu swěcu, prošu.
HSB_3_284	Lampa, dwacci procentow, prošu.
HSB_3_285	Swěca, pjeć procentow, prošu.
HSB_3_286	Swěca, pjećdźesać procentow.
HSB_3_287	Lampa, dźewjećdźesać procentow, prošu.
HSB_3_288	Swěca, dźesać procentow, prošu.
HSB_3_289	Swěca, swětlišo prošu.
HSB_3_290	Swěca, ćopłu běłu swěcu, prošu.
HSB_3_291	Swěca, pjatnaće procentow, prošu.
HSB_3_292	Lampa, pjeć procentow.
HSB_3_293	Lampa, zymno-běłe, prošu.
HSB_3_294	Swěca, pjećadwacci procentow.
HSB_3_295	Swěca, daj pjećatřicci procentow.
HSB_3_296	Lampa, pjatnaće procentow.
HSB_3_297	Swěca, budź cyle swětła.
HSB_3_298	Swěca, dźewjećdźesać procentow, prošu.
HSB_3_299	Ćopłu běłu barbu, prošu.
HSB_3_300	Lampa, pjećawosomdźesat procentow.
HSB_3_301	Lampa, dźesać procentow.
HSB_3_302	Zaswěć swěcu.
HSB_3_303	Lampa, pjećapołsta procentow.
HSB_3_304	Lampa, daj pjećaštyrceći procentow.
HSB_3_305	Zelenu barbu, prošu.
HSB_3_306	Lampa, pjećaštyrcći procentow.
HSB_3_307	Swěca, daj dźewjećdźesat procentow.
HSB_3_308	Swěca, pjećadźewjećdźesać procentow.
HSB_3_309	Lampa, dźesać procentow, prošu.
HSB_3_310	Lampa, oranž, prošu.
HSB_3_311	Swěca, štyrceći procentow.
HSB_3_312	Lampa, třicci procentow, prošu.
HSB_3_313	Lampa, daj sydomdźesać procentow.
HSB_3_314	Lampa, daj pjećaštyrcci procentow.
HSB_3_315	Lampa, pjatnać procentow, prošu.
HSB_3_316	Lampa, šěsćdźesat procentow.
HSB_3_317	Swěca, trošku romantisce prošu.
HSB_3_318	Hasń swěcu
HSB_3_319	Lampa, daj pjećašěsćdźesat procentow.
HSB_3_320	Swěca, módru barbu, prošu.
HSB_3_321	Lampa, daj pjatnaće procentow.
HSB_3_322	Barbu hasńć, prošu.
HSB_3_323	Lampa, pjatnaće procentow, prošu.
HSB_3_324	Lampa, čerwjenu barbu, prošu.
HSB_3_325	Lampa, daj wosomdźesać procentow.
HSB_3_326	Lampa, pjećasydomdźesać procentow.
HSB_3_327	Prošu, lampa, dźi on.
HSB_3_328	Swěca, daj pjećašěsćdźesat procentow.
HSB_3_329	Lampa, dźi on.
HSB_3_330	Lampa, daj sydomdźesat procentow.
HSB_3_331	Lampa, šěsćdźesać procentow, prošu.
HSB_3_332	Swěca, dwaceći procentow.
HSB_3_333	Swěca, daj pjeć procentow.
HSB_3_334	Swěca, pjećadwacći procentow, prošu.
HSB_3_335	Swěca, pjećawosomdźesat procentow.
HSB_3_336	Swěca, daj pjećdźesać procentow.
HSB_3_337	Lampa, pjećadźewjećdźesat procentow.
HSB_3_338	Lampa, daj pjećasydomdźesat procentow.
HSB_3_339	Swěca, daj dwacći procentow.
HSB_3_340	Swěca, šěsćdźesat procentow, prošu.
HSB_3_341	Swěca, sto procentow.
HSB_3_342	Zymnu běłu barbu, prošu.
HSB_3_343	Módru swěcu, prošu.
HSB_3_344	Swěca, třicci procentow.
HSB_3_345	Lampa, běłu barbu, prošu.
HSB_3_346	Swěca, šěsćdźesać procentow, prošu.
HSB_3_347	Lampa, wosomdźesać procentow.
HSB_3_348	Swěca, zelenu barbu, prošu.
HSB_3_349	Lampa, dźewjećdźesać procentow.
HSB_3_350	Lampa, daj pjatnać procentow.
HSB_3_351	Swěca, chłódno-běłu barbu, prošu.
HSB_3_352	Swěca, pjećasydomdźesat procentow.
HSB_3_353	Lampa, zelenu barbu, prošu.
HSB_3_354	Swěca, pjećapjećdźesać procentow, prošu.
HSB_3_355	Zelenu swěcu, prošu.
HSB_3_356	Lampa, pjećatřicći procentow, prošu.
HSB_3_357	Lampa, ćopło-běłu barbu, prošu.
HSB_3_358	Módru barbu, prošu.
HSB_3_359	Swěca, trošku romantiki.
HSB_3_360	Swěca, pjećawosomdźesat procentow, prošu.
HSB_3_361	Lampa, daj pjećadwacci procentow.
HSB_3_362	Lampa, pjećašěsćdźesat procentow, prošu.
HSB_3_363	Swěca, daj pjećawosomdźesat procentow.
HSB_3_364	Lampa, pjeć procentow, prošu.
HSB_3_365	Swěca, pjećaštyrceći procentow.
HSB_3_366	Lampa, ćopło-běłe, prošu.
HSB_3_367	Swěca, daj pjećasydomdźesać procentow.
HSB_3_368	Lampa, sydomdźesat procentow.
HSB_3_369	Swěca, najswětlišo.
HSB_3_370	Swěca, pjećadźewjećdźesat procentow, prošu.
HSB_3_371	Swěca, přitulnu swěcu prošu.
HSB_3_372	Lampa, njewidźu ničo.
HSB_3_373	Lampa, wosomdźesat procentow, prošu.
HSB_3_374	Čerwjenu swěcu, prošu.
HSB_3_375	Swěca, pjećasydomdźesać procentow.
HSB_3_376	Barbu hasnyć.
HSB_3_377	Lampa, pjatnać procentow.
HSB_3_378	Lampa, daj štyrcći procentow.
HSB_3_379	Lampa, romantiku prošu.
HSB_3_380	Lampa, zaswěćić!
HSB_3_381	Swěca, daj dźewjećdźesać procentow.
HSB_3_382	Swěca, je pře ćma.
HSB_3_383	Lampa, daj dźesać procentow.
HSB_3_384	Swěca, čerwjenu swěcu, prošu.
HSB_3_385	Lampa, daj dźewjećdźesat procentow.
HSB_3_386	Lampa, chcu rady čitać.
HSB_3_387	Ćopło-běłu barbu, prošu.
HSB_3_388	Lampa, sydomdźesać procentow, prošu.
HSB_3_389	Swěca, módru swěcu, prošu.
HSB_3_390	Swěca, daj dwaceći procentow.
HSB_3_391	Prošu, swěca, zaswěć so.
HSB_3_392	Swěca, daj połsta procentow.
HSB_3_393	Swěca, trošku romantisce.
HSB_3_394	Swěca, daj pjećadźewjećdźesat procentow.
HSB_3_395	Swěca, pjeć procentow.
HSB_3_396	Lampa, daj pjećapjećdźesat procentow.
HSB_3_397	Lampa, pjećadwaceći procentow, prošu.
HSB_3_398	Lampa, třicci procentow.
HSB_3_399	Swěca, daj sto procentow.
HSB_3_400	Swěca, běłe, prošu.
HSB_3_401	Swěca, daj wšo.
HSB_3_402	Lampa, daj třiceći procentow.
HSB_3_403	Lampa, połsta procentow.
HSB_3_404	Lampa, módru swěcu, prošu.
HSB_3_405	Lampa, štyrcci procentow.
HSB_3_406	Lampa, ćopłu běłu barbu, prošu.
HSB_3_000	Wój mataj wšitko a njetrjebataj wjac žane dalše dokumenty.
HSB_3_001	Wot statneje strony wudźěłane wustawki wotpokaza wjetšina zastupjerjow towarstwow.
HSB_3_003	Wón steji na dospołnje bjezwuhladnym poslednim městnje na krajnej lisćinje swojeje strony.
HSB_3_004	Zakład toho měli wuslědki brunicoweje komisije być.
HSB_3_005	Dajće so wot „Kulturneho dožiwjenja Hornja Łužica“ wobkuzłać.
HSB_3_006	Dźensa wječor póńdu ja ze swojim mandźelskim preč.
HSB_3_007	W Nowym Miłorazu dóstanu wobydlerjo zaso swój wjesny towarstwowy dom.
HSB_3_008	W myjerni su małe myjadła, špihele, hóčki za trjenja a česaki a polcy.
HSB_3_009	Sym to tehdy hižo ze zajimom sćěhował.
HSB_3_010	Za mnje je wšitko, štož moluju, serbske, wšo to, štož mi wotpowěduje.
HSB_3_011	Što ma to wšo z ptačim kwasom činić?
HSB_3_012	Abo jeli bychmy nowozałožene předewzaća za wěsty čas wot přemysłoweho dawka wuswobodźili?
HSB_3_013	Čłon zwjazkoweho předsydstwa Jan Nuk zakitowaše žadanje, kubłanišća do swójskeho nošerstwa přewzać.
HSB_3_015	W Domje Domowiny we Wojerecach su šulerjo rady witani hosćo.
HSB_3_016	Dokumentacija wuslědkow lońšeho naprašowanja Domowiny je digitalnje přistupna.
HSB_3_017	Wo swojich nazhonjenjach rozprawja tež w swojim blogu.
HSB_3_018	Ja sym přeprošeny na test pola Čerwjenych čertow.
HSB_3_019	Wosebitosć tež je, zo leži w serbskim sydlenskim rumje.
HSB_3_020	Haj, jeli bychu móžnosć měli, do serbskeje pěstowarnje chodźić.
HSB_3_021	Hišće po wosom lětdźesatkach so na mjeno brutalneho kubłarja dopominaše.
HSB_3_022	Powšitkownje rozrjaduje so do dźesać wotrězkow.
HSB_3_023	Tež hosći Domowiny a měšćanskeho zarjada běchu na krótki program přeprosyli.
HSB_3_024	Runočasnje so poradźi, zaso ryby kaž mjenka abo kamjentneho šližika zasydlić.
HSB_3_025	Do wobłuka swójbneho kubłanja liči tež swójbne popołdnjo w Chrósćicach.
HSB_3_026	Nimo toho je jeho jedyn wobraz w Radworskej wosadneje cyrkwi jara putał.
HSB_3_027	Twoja mać a ja mamoj překwapjenku za was.
HSB_3_029	Wulkoćeta podpěruje rěčnu wuměnu mjez wulkowujemi a wujemi.
HSB_3_030	Přeprošeni su žony, kotřiž za duchownym powołanjom w rjadniskim žiwjenju pytaja.
HSB_3_031	W naslědnych lětdźesatkach so časniki raz přestajichu, potom zaso nic.
HSB_3_032	Mi je wažne wědźeć, štó a što za poskitkom tči.
HSB_3_033	Na lěsnym haće kołpa z młodymi a dźiwje kački wobkedźbujemy.
HSB_3_034	Tohodla je wažne, zo so nětko žane dalše fakty z nowymi wotwódnjenskimi studnjemi njetworja.
HSB_3_035	Z tym bě za nas lochko, so do serbšćiny zanurić.
HSB_3_036	Ličba porodow stupa w měsće sylnišo hač běchmy sej to myslili.
HSB_3_037	To definuje cyrkwinski serbski zakoń.
HSB_3_038	Nimo toho bu narunanska pawšala za zarjadniske wudawki konkretizowana.
HSB_3_039	Jónu su to projekty, hdźež dźe wo to, serbsku rěč prezentnišu činić.
HSB_3_040	Na informaciskim zarjadowanju wo Serbskim komunalnym programje bě předsydka serbskeje rady jara optimistiska.
HSB_3_041	Hdyž hladaš z Čornoboha k połnocy, tak widźiš zady Kubšic někotre hórki.
HSB_3_042	W Delnjej Łužicy přiběraja maćernorěčne dźěći.
HSB_3_043	Ćeta Hana zes Panama je rjana a kmana.
HSB_3_044	Ty bě tołsta, dokelž sy přewjele słódkosćow jědła.
HSB_3_045	W Africe a z wulkeho dźěla w Aziji jón njeznaja.
HSB_3_046	Jank pod hajkom woraše, Hanka jemu pomhaše.
HSB_3_048	Přiwšěm su so politikarjo njedawno na to dojednali, brunicowu komisiju po němskim přikładźe zasadźić.
HSB_3_049	A kak wupada ze serbšćinu we wsy?
HSB_3_050	Wšudźe tam, hdźež njemóžemy so na serbski konsens dojednać, wohrožamy našu jednansku poziciju.
HSB_3_051	Komisija změje potom tři měsacy chwile na to reagować.
HSB_3_052	Za to dźakuju so Wam w mjenje zwjazkoweho předsydstwa jara wutrobnje.
HSB_3_053	To je něšto, štož nas přeco potrjechi.
HSB_3_054	Tak móhli najebać demografisku změnu žiwjensku kwalitu zaručić.
HSB_3_055	Mam samsne abo podobne wěcy dwójce?
HSB_3_056	Tute konkretne dožiwjenje wotbłyšćuje slědowace.
HSB_3_057	Wulki wuznam změja hišće njerozsudźeni wolerjo.
HSB_3_058	Dźiwadło transportuje přez rěč, hudźbu, reju a wobrazy tež wotpowědnu kulturu.
HSB_3_059	A jowle naprawo budu sad a zelenina stać.
HSB_3_060	Wón je karty na blido połožił a je stanył.
HSB_3_061	Hospodarstwo je sylne, ale nimamy garantiju, zo to tak wostanje.
HSB_3_062	K městnam jich skutkowanja słušeštej na přikład Južne morjo a Južna Afrika.
HSB_3_063	Ćim doraznišo pisaše wo wěrje.
HSB_3_064	Abo ma syć hižo swójski koncept?
HSB_3_065	Rěčna krajina wuzwoli so porno druhim tu mjenowanym kategorijam stajnje na dwě lěće.
HSB_3_066	Ale na přichodnym dnju dźěše wón do akademije k čitanju.
HSB_3_067	Wospjet smy wo jeje aktiwitach za serbske naležnosće w Budyšinje zhonili a čitali.
HSB_3_068	Lětsa mějachmy wonka cyle wjele krokawow, to běše jara njepřijomne.
HSB_3_069	Proces wuhódnoćenja a hódnoćenje pisomnych pruwowanjow njeměł dwě njedźeli překročić.
HSB_3_070	Hosćićeljo su klětu Korutanscy Słowjency.
HSB_3_071	Tamniša šula nosy jeho mjeno.
HSB_3_072	Prošu začiń durje.
HSB_3_073	Tomu słuša tež ewaluacija ze zaměrom, zdobyte dopóznaća do praktiskeje politiki přetworić.
HSB_3_074	Ale w nalěću, takle po dołhej, ćmowej zymje, je to tola něšto wosebiteho.
HSB_3_075	Na polu kulturneho turizma žadamy sej prawu prezentaciju serbskich wobsahow.
HSB_3_076	Změny při financowanju kulturneho ruma njesmědźa so na kóšty města Budyšina přewjesć.
HSB_3_077	Při tutej přiležnosći ma so tam klóšter załožić.
HSB_3_078	Z tym njemóžu jako Serb swoju serbsku twórbu hižo serbsce přizjewić.
HSB_3_079	Domowina wutwori w swojim zarjedźe znowa městno referenta za kubłanje a młodźinu.
HSB_3_080	Dobyćer přesadźowanja wužiwa meju jako ławku před swojim domskim.
HSB_3_081	Tam bu tež naša třěšna organizacija Domowina załožena.
HSB_3_082	Wutrobnu gratulaciju!
HSB_3_083	Tuž sym hižo dlěje wo tym rozmyslował, hač moje znajomosće za wučerstwo dosahaja.
HSB_3_084	Dobre połdra lěta pozdźišo wobsadźi Gestapo redakciske rumnosće Serbskich Nowin w Budyšinje.
HSB_3_085	Měšćanska rada bě namjetej přihłosowała.
HSB_3_086	Wy so wjeseliće, zo su wšitcy wěsći domoj dóšli.
HSB_3_087	Myto wyšeho měšćanosty, zhromadny wopyt muzeja, njeje so hišće wotměł.
HSB_3_088	Kóždy čłon ma w sobustawskej zhromadźiznje samsne prawo hłosować a wolić.
HSB_3_089	Tute je naš fotograf minjene dny na wjesnej čornej desce dokumentował.
HSB_3_090	Mój pojědźemoj dźensa k optikarjej po nowe nawoči.
HSB_3_091	Snadź sej potom tón abo tamny serbske mjeno wsy spomjatkuje.
HSB_3_092	Župa sama k nim styki njenawjaza.
HSB_3_093	Tu podate přikłady nimaja narok dospołnosće.
HSB_3_094	Wot Jěwy-Marje Čornakec pisana dźěćaca kniha hodźi so za předšulske dźěći.
HSB_3_095	Woni mjenujcy tak njewola, kaž maja.
HSB_3_096	Zwosadźane žiwe płoty, hajki a jednotliwe štomy su agrarnu krajinu dale rozčłonkowali.
HSB_3_097	Nětko měli zhromadnosće namakać.
HSB_3_098	Zawěsće maja potom tež waši starši, waše wowki a waši dźědojo zaso jara nuznje.
HSB_3_099	Swoje wysoke kłobuki mějachu chětro křiwje na hłowje.
HSB_3_100	Mój syn budźe Čerwjeny čert, to dyrbju pódla być.
HSB_3_101	Po tachantskim kapitlu je wone druhe najstarše zhromadźenstwo w biskopstwje Drježdźany-Mišnjo.
HSB_3_102	Štož z ministerstwa přińdźe, njeje dosć do přichoda myslene.
HSB_3_103	Za zarjadowanje w Budyšinje maja so zajimcy přizjewić.
HSB_3_104	Biologiska mnohotnosć je eksistencielny zakład za žiwjenje čłowjestwa na našim planeće.
HSB_3_105	Wulka zasłužba angažowaneho šulskeho wjednika je, zo je serbšćina kruće w šuli zakótwjena.
HSB_3_106	W Braniborskej přihotuja so hižo na přichodne wólby Rady za serbske naležnosće.
HSB_3_107	Ty wotstaji šulsku tobołu a poda so do zahrody na hrajkanje.
HSB_3_108	Ty sy bow pod wulijawu stajiła, dokelž je z roły kapało.
HSB_3_109	Tójšto zarjadowanjow wotmě so w małoměstach a na wsach.
HSB_3_110	Zdobom móhli serbšćinu zwonka šule nałožować.
HSB_3_111	Młodźinske towarstwo Pawk a Kamjenska župa "Michał Hórnik" nominowaštej Dawida Statnika.
HSB_3_112	Najwjetši lód na šišce přińdźe z Nižozemskeje.
HSB_3_113	Snano sy hižo raz wobkedźbował, kak so wo swoje młode staramy.
HSB_3_114	Wonej měještej krótkostawiznu Kito Lorenca w šulskej tobole.
HSB_3_115	- poskitki k zaběrje w zymskich, lětnich a nazymskich prózdninach
HSB_3_117	Prawidłownje so awtorske čitanja a knižne premjery přewjedu.
HSB_3_118	Zakładny zakoń garantuje nam tež najwšelakoriše prawa.
HSB_3_119	Zwjazkowe předsydstwo dźěła po jednanskim porjedźe, kiž wone postaji.
HSB_3_120	Njeposrědnje po skónčenju Druheje swětoweje wójny bu Domowina w Chrósćicach wobnowjena.
HSB_3_121	Łužiska jězorina je mjez tu- a wukrajnymi turistami dźeń a woblubowaniša.
HSB_3_122	Mi so šaty Štefi Hanušoweje najbóle lubja.
HSB_3_123	W dwurěčnej knize zajimowachu nas předewšěm te mnohe wobrazy.
HSB_3_124	Přiručka je z nowym titulom, w nowym formaće a w rozšěrjenym nakładźe wušła.
HSB_3_125	Jako rěč spěchowace naprawy hodźa so wšelake zarjadowanja Domowiny hódnoćić.
HSB_3_126	Za Budyske towarstwo Škit nastupi Julian Nyča.
HSB_3_127	Hdyž smój mój rozpalitej byłoj, smój wšitko druhe zabyłoj.
HSB_3_128	Předawarjow běše mjenje hač hewak, kupcow hišće mjenje.
HSB_3_129	Wój staj wódnu krokawu w šěrokim morju widźałoj.
HSB_3_130	Na kromje Wojerec stej dalšej nominowanej mysličce zasydlenej.
HSB_3_131	Smy jako krajna cyrkej sami na tym dypku, zo dyrbimy wšudźe lutować.
HSB_3_132	Ja prajach ći stajnje wěrnosć, tež hdyž běše wěrnosć njerjana a bolostna.
HSB_3_133	Kónčina Wojerecy-Wjelcej ma so jako mjezy přesahowacy testowy region wutwarić.
HSB_3_134	Ja praju, zo je tež najmjeńši započatk dobry započatk.
HSB_3_135	Dokładny termin dźěłarnički pak hišće jasny njeje.
HSB_3_136	Při tym měli rozsudy komunow akceptować a nic wothorjeka z pomocu zakonjow rjadować.
HSB_3_137	Kak woni tute hódnoća?
HSB_3_138	Prezentować ma so dźěłowy swět w digitalizaciji na cyle wosebitym a centralnym městnje.
HSB_3_139	Swjaty wótc swjećeše tam Božu mšu z wěriwymi z něhdźe sto narodnosćow.
HSB_3_140	Wučbnica wobsahuje wubrane fakty wo zažnej dobje wuwića čłowjeka, wo Egyptowskej a Grjekskej.
HSB_3_141	Do gmejny słušeja wjeski kaž Chelno, Bronjo a Kamjenjej.
HSB_3_142	Aktualnje wobswědča tele měnjenje łopjeno.
HSB_3_143	Lětsa su so w Lejnom dotal tři dźěći narodźili.
HSB_3_144	Wonaj měještaj roman Jurja Brězana w tobole, kotryž za šulu čitać dyrbještaj.
HSB_3_145	Internat je zarjadnišćo za dźěći a młodostnych wot pjateho hač do dwanateho lětnika.
HSB_3_146	Njepilic statok je w minjenych lětach domizniske stawizny Slepjanskeho regiona sobu pisał.
HSB_3_147	Hižo zaso sym zabyła biotonu wuprózdnić.
HSB_3_148	Dźe wo spušćomne zakładne zastaranje ludźi z milinu.
HSB_3_149	Přiwzaće tajkeje formulacije by cyłostatnu zamołwitosć Němskeje za škit narodnych mjeńšin podšmórnyło.
HSB_3_150	Znaješ tu cyrkwinu wěžu, kotraž najdale do serbskeho kraja widźi?
HSB_3_151	Wój přińdźeštej zašły měsac někotre razy, zo byštej mi włosy barbiłoj.
HSB_3_152	Woni su w mužacym wotdźělu a wuspytaja cholowy a košle.
HSB_3_153	Młodemu serbskemu kralej Přebysławej so z pomocu nykusa poradźi, z woblěhowaneje twjerdźizny ćeknyć.
HSB_3_154	Wot toho časa dawaše zaso stare towarstwo Serbow.
HSB_3_155	Zdobom je hrib na přikład družinje šampinjonow podobny, kiž hodźa so jěsć.
HSB_3_156	Dyrbimy kedźbować, zo mjez wužiwarjemi žane konflikty njenastanu.
HSB_3_157	Žiwe bahna składuja wuhlik a nimo toho wokolnu krajinu chłódźa.
HSB_3_158	Wjacorym zapósłancam su na zamołwjenskim zarjadowanju sylzy do wočow stupali.
HSB_3_159	Dźěći nimaja krutu stronu, ale krute městno w Posole.
HSB_3_160	Zdobom je internet starši.
HSB_3_161	Wój stej móhłoj wulkotnje dźiwadło hrać, ale docyła nic spěwać.
HSB_3_162	Medicina w nich njeje, ale tyzki móža tomu zadźěwać, zo medicinu trjebaš.
HSB_3_163	Nalěwo a naprawo, druhdy samo mjez jězdnjomaj, wuhladaš dołhi rynk štomow.
HSB_3_164	Z trawmatizaciju cyłych generacijow w Serbach njeje so dotal žadyn politikar chutnje zaběrał.
HSB_3_165	Dalše wužadanje widźeše w tym, wustajeńcu wo Serbach a Domowinje zestajić.
HSB_3_166	Jedna cyrkej prawje, hdyž wěstych ludźi wot lubosće Božeje wuzamknje?
HSB_3_167	We Worklecach swjećachu dźěći w parku rjany nyšpor.
HSB_3_168	Zo pak přehladka to nječinješe, je škoda.
HSB_3_169	W tym zwisku měli korporaciju zjawneho prawa Serbow wutworić.
HSB_3_170	K hłownym wuslědkam komisije słuša namjet, spěchowanje zwjazka po jednotliwych potrěbnosćach wusměrić.
HSB_3_171	Mój smój wamaj něšto na łožo połožiłoj, pohladajtaj raz.
HSB_3_172	To běchu předewšěm naprawy na priwatnych domach a přemysłowych objektach.
HSB_3_173	Wonaj měještaj to za dobre, hdyž jeju dźowka bilingualnje wotrosće.
HSB_3_174	Kubłaše je w stawiznach, literaturje a politice.
HSB_3_175	Tam sym wo Mari Grólmusec zhoniła a kontakty nawjazała.
HSB_3_176	Něšto nowoprodukowane sy tak krótko po wójnje lědma dóstał.
HSB_3_177	Křižowanišćo při wjesnym haće njesmě so na žadyn pad jako twarski puć wužiwać.
HSB_3_178	Kóždu njedźelu a kóždy swjaty dźeń su serbske a němske kemše.
HSB_3_179	Wobdźělić smědźa so towarstwa, zwjazki a iniciatiwy, gmejny a předewzaća.
HSB_3_180	Tohodla so mnozy tomu wobaraja, zo jim diktaturu stajnje hišće porokuja.
HSB_3_181	Smy so wjeselili, zo bu poskitk tak derje přiwzaty.
HSB_3_182	We wotměnjawych zwučowanjach so leksika zwučuje a skruća.
HSB_3_183	Wuhotowanje wučby charakterizuje změnjena šulska a wuknjenska kultura.
HSB_3_184	Za krytej kofejowej taflu před Serbskim domom njedósta jenož městnosć wosebity raz.
HSB_3_185	Tak je so radźiło, znowa jednoho zastupjerja do wokrjesneho sejma wokrjesa Budyšin wolić.
HSB_3_186	Wonej móžetej jenož nudle warić, hewak njejstej ničo warić nawuknyłoj.
HSB_3_187	Što so stanje, hdyž so wšědna serbska drasta přeco bóle ze žiwjenja pozhubja?
HSB_3_188	Atleća běchu z wjacorych zwjazkowych krajow.
HSB_3_189	Na lětušej hłownej zhromadźiznje Maćicy Serbskeje wočakowaše wopytowarjow najwjetša překwapjenka.
HSB_3_190	Přejemy sej nowy rozmach za našu drastu.
HSB_3_191	Wy přińdźešće z awtom, ja přińdźech z kolesom a wón přińdźe pěši.
HSB_3_192	Ale poprawom je mi wšojedne, kotru druhu rěč moje dźěći nawuknu.
HSB_3_193	Wšako je z tematiku mjeńšinowych prawow w swojim zwjazkowym kraju wusko zwjazany.
HSB_3_194	Wonej stej sad a zeleninu do nakupowanskeho korbika połožiłoj.
HSB_3_195	Gmejna, kotruž Sprjewja w zapadźe přeběži, leži w Hornjej Łužicy.
HSB_3_196	Smy samo koncepciju předpołožili.
HSB_3_197	Při tym maja internatni šulerjo móžnosć, ludźi druhich kulturow zeznać.
HSB_3_198	Z tym ma so generacije přesahowaca zhromadnosć spěchować.
HSB_3_199	Stara so wo to, zo so projekty župy w běhu lěta přewjeduja.
HSB_3_200	Mam za jara dobre, zo tak zdobom serbske rjemjesło prjedawšich časow předstajamy.
HSB_3_201	Škórcy wołaja z třěchi, zo je lěćo bórze nimo.
